
Harmonised long-term interest rates for convergence assessment purposes
Frequency: MONTHLY Data
Name:,IRS.M.BE.L.L40.CI.0000.EUR.N.Z,IRS.M.DE.L.L40.CI.0000.EUR.N.Z,IRS.M.IE.L.L40.CI.0000.EUR.N.Z,IRS.M.GR.L.L40.CI.0000.EUR.N.Z,IRS.M.ES.L.L40.CI.0000.EUR.N.Z,IRS.M.FR.L.L40.CI.0000.EUR.N.Z,IRS.M.IT.L.L40.CI.0000.EUR.N.Z,IRS.M.CY.L.L40.CI.0000.EUR.N.Z,IRS.M.LU.L.L40.CI.0000.EUR.N.Z,IRS.M.MT.L.L40.CI.0000.EUR.N.Z,IRS.M.NL.L.L40.CI.0000.EUR.N.Z,IRS.M.AT.L.L40.CI.0000.EUR.N.Z,IRS.M.PT.L.L40.CI.0000.EUR.N.Z,IRS.M.SI.L.L40.CI.0000.EUR.N.Z,IRS.M.SK.L.L40.CI.0000.EUR.N.Z,IRS.M.FI.L.L40.CI.0000.EUR.N.Z,IRS.M.BG.L.L40.CI.0000.BGN.N.Z,IRS.M.CZ.L.L40.CI.0000.CZK.N.Z,IRS.M.DK.L.L40.CI.0000.DKK.N.Z,IRS.M.LV.L.L40.CI.0000.LVL.N.Z,IRS.M.LT.L.L40.CI.0000.LTL.N.Z,IRS.M.HU.L.L40.CI.0000.HUF.N.Z,IRS.M.PL.L.L40.CI.0000.PLN.N.Z,IRS.M.RO.L.L40.CI.0000.RON.N.Z,IRS.M.SE.L.L40.CI.0000.SEK.N.Z,IRS.M.GB.L.L40.CI.0000.GBP.N.Z
JUL-2001     ,5.35 ,5.02 , 5.23 , 5.51 ,5.35 ,5.15 ,5.42 ,7.69 ,5.05 ,6.17 ,5.17 ,5.29 , 5.39   ,NA ,8.04 ,5.27   ,NA ,6.85 ,5.32 , 7.75 , 8.46 , 7.77 ,11.79    ,NA ,5.42 , 5.3
AUG-2001     ,5.15 ,4.82 , 5.01 , 5.33 ,5.16 ,4.95 ,5.22 ,7.55 ,4.81 ,6.29 ,4.98 , 5.1 , 5.19   ,NA ,7.99 ,5.06   ,NA ,6.76 ,5.12 , 7.66 , 8.01 , 7.76 ,11.86    ,NA ,5.16 ,5.07
SEP-2001     ,5.14 ,4.81 , 5.01 , 5.31 ,5.14 ,4.94 , 5.2 ,7.55 ,4.67 , 6.3 ,4.98 ,5.08 , 5.17   ,NA , 8.1 ,5.06   ,NA ,6.47 ,5.11 , 7.58 , 7.99 , 7.94 ,11.49    ,NA ,5.26 ,5.02
OCT-2001     ,4.89 , 4.6 , 4.77 , 5.07 ,4.91 ,4.72 ,4.96 ,7.55 ,4.41 , 6.3 ,4.77 ,4.85 , 4.92   ,NA ,8.08 ,4.83   ,NA ,5.84 ,4.86 , 7.48 , 7.62 , 7.98 ,10.31    ,NA ,5.17 ,4.86
NOV-2001     ,4.75 ,4.45 , 4.63 ,  4.9 ,4.76 ,4.57 , 4.8 ,7.55 ,4.29 ,6.27 ,4.62 , 4.7 , 4.76   ,NA ,7.97 ,4.69   ,NA , 5.4 ,4.67 , 7.08 , 6.28 , 7.38 , 9.04    ,NA ,4.96 ,4.67
DEC-2001     ,4.97 ,4.74 , 4.93 , 5.13 ,4.97 ,4.87 ,5.05 ,7.55 ,4.51 ,6.24 ,4.89 ,4.95 , 5.01   ,NA ,7.75 ,4.98   ,NA ,5.43 ,4.97 , 6.93 , 6.34 , 7.07 , 8.88    ,NA ,5.24 ,4.94
JAN-2002     ,5.08 ,4.86 , 5.02 , 5.24 ,5.05 ,4.93 ,5.14 ,7.55 ,4.84 ,6.18 ,4.97 ,5.06 , 5.08   ,NA ,7.41 ,5.05   ,NA ,5.32 ,5.08 , 6.35 , 6.47 , 6.77 , 8.26    ,NA ,5.27 ,5.02
FEB-2002     ,5.15 ,4.92 ,  5.2 , 5.31 ,5.11 ,4.99 , 5.2 ,7.11 ,4.91 ,6.12 ,5.03 ,5.12 , 5.15   ,NA ,7.32 , 5.1   ,NA ,5.31 ,5.15 , 5.98 , 6.43 , 6.82 , 8.33    ,NA ,5.36 ,5.04
MAR-2002     ,5.37 ,5.16 , 5.42 ,  5.5 ,5.34 ,5.24 ,5.41 ,5.37 ,5.16 ,6.04 ,5.27 ,5.36 , 5.39 ,9.62 ,7.37 ,5.33   ,NA ,5.55 , 5.4 ,  5.8 , 5.92 , 6.94 , 8.33    ,NA ,5.63 ,5.34
APR-2002     ,5.37 ,5.15 , 5.41 , 5.51 ,5.34 ,5.24 , 5.4 ,5.37 ,5.19 ,5.88 ,5.25 ,5.35 , 5.39 ,9.52 ,7.47 ,5.32   ,NA ,5.42 , 5.4 , 5.78 , 6.15 , 6.82 , 8.21    ,NA ,5.69 ,5.33
MAY-2002     ,5.38 ,5.17 , 5.41 , 5.52 ,5.36 ,5.26 ,5.41 ,5.37 ,5.15 ,5.85 , 5.3 ,5.37 ,  5.4 ,9.22 ,7.68 , 5.4   ,NA , 5.3 ,5.42 , 5.59 , 6.15 , 7.11 , 8.02    ,NA ,5.69 ,5.35
JUN-2002     ,5.24 ,5.02 , 5.25 , 5.37 ,5.23 ,5.11 ,5.26 ,5.37 ,5.09 ,5.83 ,5.16 ,5.22 , 5.26 ,9.19 ,7.83 ,5.26   ,NA ,5.13 ,5.27 , 5.38 ,  6.1 , 7.56 , 7.55    ,NA ,5.52 ,5.19
JUL-2002     ,5.09 ,4.87 , 5.11 , 5.21 ,5.07 ,4.96 ,5.11 ,5.37 ,4.87 ,5.77 ,4.99 ,5.06 , 5.12 ,9.08 ,7.64 , 5.1   ,NA ,4.79 ,5.13 , 5.34 ,    6 , 7.68 , 7.59    ,NA ,5.37 ,5.02
AUG-2002     , 4.8 ,4.59 , 4.84 , 4.95 ,4.78 ,4.67 ,4.83 ,5.37 , 4.7 ,5.74 ,4.71 ,4.77 , 4.85 ,8.94 ,7.24 ,4.81   ,NA ,4.57 ,4.88 , 5.34 ,    6 , 7.47 , 7.26    ,NA ,5.13 ,4.67
SEP-2002     , 4.6 ,4.38 , 4.63 , 4.73 ,4.57 ,4.46 ,4.62 ,5.37 ,4.33 ,5.74 , 4.5 ,4.57 , 4.63 ,8.91 , 6.6 ,4.61   ,NA ,4.48 ,4.74 , 5.14 , 5.92 , 7.38 , 6.78    ,NA ,4.97 ,4.45
OCT-2002     ,4.66 ,4.46 ,  4.7 , 4.79 ,4.63 ,4.55 ,4.76 ,5.37 ,4.11 ,5.56 ,4.58 ,4.64 ,  4.7 , 8.9 ,6.11 ,4.68   ,NA ,4.29 ,4.81 , 4.88 , 5.87 , 7.21 , 6.26    ,NA ,5.07 ,4.53
NOV-2002     ,4.64 ,4.48 , 4.67 , 4.76 , 4.6 ,4.53 ,4.74 ,5.37 ,4.11 ,5.57 ,4.56 ,4.62 , 4.66 , 7.1 ,5.43 ,4.66   ,NA ,4.21 ,4.79 , 4.79 , 5.87 , 6.76 , 5.95    ,NA ,5.05 ,4.55
DEC-2002     ,4.46 ,4.33 , 4.46 , 4.58 ,4.43 ,4.38 ,4.55 ,5.37 ,3.97 ,5.55 ,4.36 ,4.43 , 4.45 ,6.65 ,5.12 ,4.45   ,NA ,4.15 ,4.61 , 4.53 , 5.87 ,  6.5 , 5.73    ,NA ,4.89 ,4.49
JAN-2003     ,4.28 ,4.18 , 4.27 , 4.43 ,4.24 ,4.22 ,4.38 ,5.29 ,3.62 ,5.54 ,4.19 ,4.22 , 4.27 ,6.65 ,4.98 ,4.26 , 7.2 , 4.1 ,4.43 , 4.62 , 5.85 , 6.33 , 5.66    ,NA , 4.7 ,4.31
FEB-2003     ,4.11 ,3.95 , 4.06 , 4.24 ,4.01 ,4.01 ,4.16 ,4.83 ,3.55 ,5.51 ,3.97 ,4.01 , 4.04 ,6.65 ,4.92 ,4.05 ,6.93 ,3.81 ,4.21 , 4.77 , 5.67 , 6.34 , 5.66    ,NA ,4.47 ,4.29
MAR-2003     ,4.15 ,   4 , 4.09 , 4.26 ,4.04 , 4.1 ,4.19 ,4.83 ,3.55 , 5.4 ,4.01 ,4.03 , 4.08 ,6.65 ,5.01 ,4.09 ,6.93 ,3.75 ,4.26 , 4.99 , 5.67 , 6.41 , 5.52    ,NA ,4.57 ,4.41
APR-2003     ,4.29 ,4.15 , 4.22 , 4.38 ,4.19 ,4.22 ,4.31 , 4.8 ,3.55 ,5.25 ,4.23 ,4.16 , 4.18 ,6.65 , 4.9 ,4.23 ,6.79 ,3.92 ,4.41 , 4.99 , 5.65 , 6.33 , 5.41    ,NA ,4.72 ,4.56
MAY-2003     ,3.95 ,3.82 , 3.89 , 4.02 ,3.88 ,3.89 ,4.04 ,4.63 ,3.55 ,5.14 ,3.91 ,3.85 , 3.91 ,6.65 ,4.72 ,3.91 ,6.78 ,3.73 ,4.09 , 4.95 , 5.63 , 5.97 , 5.12    ,NA ,4.37 ,4.31
JUN-2003     ,3.74 ,3.62 , 3.69 , 3.81 ,3.69 ,3.69 ,3.82 ,4.63 ,2.85 ,5.11 ,3.72 ,3.76 , 3.77 ,6.65 , 4.7 , 3.7 ,6.78 ,3.49 ,3.85 , 4.89 ,  5.5 , 6.33 , 5.03    ,NA , 4.2 ,4.19
JUL-2003     ,4.06 ,3.97 , 4.01 , 4.12 ,4.03 ,4.01 ,4.13 ,4.59 ,2.85 ,4.95 ,4.04 ,4.06 ,  4.1 ,6.65 , 4.8 ,4.01 ,5.95 ,4.06 ,4.17 , 4.78 , 5.38 , 6.86 , 5.37    ,NA ,4.51 ,4.47
AUG-2003     ,4.22 ,4.13 , 4.17 , 4.29 ,4.19 ,4.16 ,4.29 ,4.59 ,3.18 ,4.78 ,4.19 ,4.22 , 4.26 ,6.65 ,4.92 ,4.18 ,5.91 ,4.23 ,4.35 ,  4.8 , 5.04 , 7.11 , 5.61    ,NA , 4.7 ,4.64
SEP-2003     ,4.25 ,4.17 , 4.19 , 4.32 ,4.21 ,4.23 ,4.31 ,4.59 ,3.22 ,4.73 ,4.21 ,4.24 , 4.29 ,6.65 ,5.02 , 4.2 ,5.91 ,4.26 , 4.4 , 4.96 , 5.04 , 7.06 , 5.93    ,NA ,4.73 ,4.76
OCT-2003     ,4.31 ,4.22 , 4.25 , 4.38 ,4.27 ,4.28 ,4.38 ,4.64 , 3.2 ,4.68 ,4.27 ,4.32 , 4.36 ,6.16 ,5.08 ,4.26 ,6.06 ,4.47 ,4.44 , 4.98 , 4.82 , 7.08 , 6.36    ,NA ,4.85 ,4.96
NOV-2003     ,4.43 ,4.35 , 4.39 , 4.51 , 4.4 ,4.41 ,4.51 ,4.75 ,3.38 , 4.7 ,4.41 ,4.44 , 4.48 ,5.54 ,5.36 ,4.39 ,6.06 ,4.75 ,4.57 , 5.01 , 4.81 , 7.82 ,  6.9    ,NA ,4.98 , 5.1
DEC-2003     ,4.38 ,4.29 , 4.36 , 4.45 ,4.34 ,4.34 ,4.46 ,4.75 ,3.29 ,4.71 ,4.33 ,4.38 ,  4.4 ,5.27 ,5.42 ,4.33 ,6.06 ,4.82 ,4.52 , 5.07 , 4.81 , 8.24 , 6.76    ,NA ,4.86 ,4.94
JAN-2004     ,4.26 ,4.17 ,  4.2 , 4.37 ,4.19 , 4.2 ,4.32 ,4.75 ,3.01 ,4.71 ,4.18 ,4.27 , 4.25 ,5.14 ,5.16 ,4.16 ,6.06 ,4.68 ,4.35 , 5.06 , 4.81 , 8.36 , 6.67    ,NA ,4.65 ,4.84
FEB-2004     ,4.26 ,4.11 , 4.15 , 4.35 ,4.15 ,4.14 ,4.34 ,4.79 ,2.94 , 4.7 ,4.12 ,4.23 , 4.19 ,5.01 ,5.11 ,4.11 ,5.54 ,4.85 , 4.3 , 5.05 , 4.81 , 8.65 , 6.82    ,NA ,4.55 ,4.88
MAR-2004     ,4.07 ,3.91 , 3.97 , 4.17 ,4.01 ,3.98 ,4.17 ,5.17 ,2.69 , 4.7 ,3.93 ,4.05 ,    4 ,4.99 ,5.09 ,3.92 ,5.48 ,4.59 , 4.1 , 4.98 , 4.64 , 8.04 , 6.65    ,NA ,4.31 ,4.76
APR-2004     ,4.26 , 4.1 , 4.17 , 4.35 , 4.2 ,4.18 ,4.35 ,5.17 ,2.77 ,4.65 ,4.13 ,4.24 , 4.25 ,4.83 ,5.06 , 4.1 ,5.36 ,4.68 , 4.3 , 4.89 , 4.55 , 7.89 , 7.02    ,NA ,4.55 ,4.99
MAY-2004     , 4.4 ,4.25 , 4.31 , 4.49 ,4.33 ,4.34 ,4.49 ,5.17 ,3.05 ,4.65 ,4.37 ,4.37 , 4.42 ,4.77 ,5.13 ,4.25 , 5.3 ,4.95 ,4.46 , 4.95 , 4.46 , 8.25 , 7.32    ,NA ,4.68 ,5.15
JUN-2004     ,4.46 ,4.31 , 4.38 , 4.55 ,4.39 ,4.39 ,4.54 ,5.49 ,3.12 ,4.65 ,4.42 ,4.42 , 4.47 ,4.69 ,5.09 ,4.48 , 5.3 ,5.09 ,4.53 , 4.93 , 4.47 , 8.55 , 7.27    ,NA ,4.72 ,5.24
JUL-2004     ,4.34 ,4.24 , 4.27 , 4.44 ,4.28 ,4.27 ,4.44 ,6.58 ,3.04 ,4.65 ,4.31 ,4.31 , 4.35 ,4.64 ,5.03 ,4.37 , 5.3 ,5.17 ,4.62 , 4.89 , 4.58 , 8.47 , 7.44    ,NA ,4.57 ,5.14
AUG-2004     ,4.18 ,4.08 , 4.09 , 4.28 ,4.15 ,4.11 ,4.28 ,6.58 ,2.86 , 4.7 ,4.15 ,4.15 , 4.18 ,4.66 ,5.02 ,4.21 , 5.3 ,5.09 ,4.45 , 4.88 , 4.57 , 8.44 , 7.36    ,NA ,4.42 ,5.03
SEP-2004     ,4.11 ,4.02 , 4.04 , 4.22 ,4.08 ,4.09 ,4.25 ,6.58 ,2.83 , 4.7 ,4.09 ,4.09 , 4.12 ,4.63 ,5.04 ,4.14 , 5.3 ,5.09 ,4.38 , 4.87 , 4.56 , 8.58 , 6.96    ,NA ,4.37 ,4.95
OCT-2004     ,3.98 ,3.89 , 3.92 , 4.11 ,3.97 ,3.98 ,4.13 ,6.58 ,2.69 ,4.71 ,3.96 ,3.97 , 3.99 ,4.47 ,5.08 ,4.01 ,5.24 ,4.89 ,4.23 , 4.63 , 4.38 , 8.23 ,  6.8    ,NA ,4.25 ,4.81
NOV-2004     ,3.85 ,3.78 ,  3.8 , 3.97 ,3.85 ,3.86 ,   4 ,6.45 ,2.59 , 4.7 ,3.85 ,3.84 , 3.86 , 4.3 ,4.92 ,3.89 ,5.13 ,4.63 ,4.09 , 4.58 , 4.25 , 7.64 , 6.45    ,NA ,4.13 ,4.74
DEC-2004     ,3.66 ,3.58 , 3.62 , 3.77 ,3.64 ,3.64 ,3.79 ,6.26 ,2.54 , 4.7 ,3.63 ,3.63 , 3.64 ,4.07 ,4.58 ,3.68 ,5.01 ,4.14 ,3.85 , 4.58 , 3.95 , 7.17 ,    6    ,NA , 3.9 ,4.58
JAN-2005     ,3.59 ,3.56 , 3.52 , 3.69 ,3.59 ,3.58 ,3.71 ,6.13 ,2.55 ,4.71 ,3.56 ,3.56 , 3.56 ,3.87 ,4.04 , 3.6 ,4.48 ,3.91 ,3.74 , 4.29 , 3.85 , 7.21 , 5.97    ,NA ,3.84 , 4.6
FEB-2005     ,3.57 ,3.54 , 3.51 , 3.69 ,3.58 , 3.6 ,3.68 ,6.06 ,2.56 ,4.72 ,3.55 ,3.55 , 3.55 ,3.92 , 3.8 ,3.57 ,4.21 ,3.62 ,3.64 , 4.03 ,  3.8 , 6.84 , 5.73    ,NA ,3.76 ,4.66
MAR-2005     ,3.76 , 3.7 , 3.66 , 3.92 ,3.74 ,3.75 ,3.84 ,5.89 ,2.58 ,4.72 ,3.69 , 3.7 ,  3.7 ,3.88 , 3.6 ,3.72 ,4.17 ,3.69 ,3.82 , 3.94 , 3.73 , 6.83 , 5.55    ,NA ,3.86 ,4.87
APR-2005     , 3.6 ,3.48 , 3.46 , 3.76 ,3.53 ,3.54 ,3.65 ,5.87 ,2.45 ,4.71 ,3.48 , 3.5 ,  3.5 ,3.95 ,3.76 ,3.51 ,4.16 , 3.7 ,3.58 , 3.87 , 3.82 , 6.91 , 5.49 , 6.75 ,3.58 ,4.67
MAY-2005     ,3.43 , 3.3 , 3.28 ,  3.6 ,3.36 ,3.38 ,3.55 ,5.84 ,2.28 ,4.66 , 3.3 ,3.41 , 3.35 ,3.92 ,3.54 ,3.33 ,4.16 ,3.49 ,3.39 , 3.87 , 3.87 ,    7 , 5.35 , 6.75 ,3.34 ,4.45
JUN-2005     ,3.26 ,3.13 , 3.13 , 3.44 ,3.18 , 3.2 ,3.41 ,5.13 ,2.12 ,4.56 ,3.13 ,3.23 , 3.19 , 3.9 ,3.36 ,3.16 , 3.9 ,3.31 ,3.16 , 3.87 , 3.78 , 6.59 , 4.91 , 7.07 ,3.11 ,4.31
JUL-2005     , 3.3 , 3.2 , 3.18 , 3.46 ,3.22 ,3.27 ,3.44 ,4.84 ,2.17 ,4.55 ,3.27 ,3.27 , 3.35 ,3.78 ,3.22 ,3.18 ,3.68 ,3.34 ,3.21 , 3.87 , 3.61 , 6.13 , 4.72 , 7.13 ,3.06 ,4.31
AUG-2005     ,3.31 ,3.23 , 3.22 , 3.47 ,3.23 , 3.3 ,3.45 ,4.84 ,2.25 ,4.43 ,3.28 ,3.28 , 3.39 ,3.79 ,3.24 ,3.21 ,3.66 ,3.36 ,3.24 , 3.87 ,  3.5 , 5.85 , 4.88 , 7.13 ,3.14 ,4.34
SEP-2005     ,3.14 ,3.07 , 3.04 ,  3.3 ,3.09 ,3.13 ,3.29 ,4.81 , 2.2 ,4.41 ,3.12 ,3.12 , 3.23 ,3.74 ,3.13 ,3.05 , 3.6 ,3.25 ,3.05 , 3.87 ,  3.5 , 5.64 , 4.57 , 7.13 ,2.98 ,4.25
OCT-2005     , 3.3 ,3.24 , 3.19 , 3.45 ,3.28 ,3.29 ,3.44 ,4.22 ,2.42 ,4.41 ,3.28 ,3.27 , 3.39 ,3.62 ,3.25 ,3.19 ,3.49 ,3.45 ,3.22 , 3.87 ,  3.5 , 6.49 , 4.91 , 6.84 ,3.17 , 4.4
NOV-2005     ,3.49 ,3.45 ,  3.4 , 3.67 ,3.48 , 3.5 ,3.66 ,4.22 ,2.65 ,4.39 ,3.48 ,3.48 , 3.58 ,3.62 , 3.7 , 3.4 ,3.49 ,3.78 ,3.46 , 3.56 , 3.64 , 6.81 , 5.38 , 6.98 ,3.39 ,4.37
DEC-2005     ,3.39 ,3.34 , 3.36 , 3.57 ,3.37 ,3.38 ,3.55 ,4.09 ,2.74 ,4.39 ,3.35 ,3.36 , 3.46 ,3.69 ,3.62 , 3.3 ,3.49 ,3.61 ,3.35 , 3.59 , 3.79 , 6.89 , 5.16 , 7.15 ,3.37 ,4.27
JAN-2006     ,3.37 ,3.32 , 3.32 ,  3.6 ,3.33 ,3.34 ,3.54 ,3.96 ,2.82 ,4.39 ,3.33 ,3.33 , 3.45 ,3.73 ,3.59 ,3.28 ,3.66 ,3.39 ,3.31 ,  3.6 , 3.62 , 6.66 , 4.95 , 7.07 ,3.33 ,3.97
FEB-2006     ,3.54 ,3.47 , 3.47 , 3.77 ,3.48 ,3.51 , 3.7 ,3.96 ,2.82 ,4.38 ,3.48 ,3.48 ,  3.6 ,3.72 ,3.75 ,3.44 ,3.68 ,3.43 ,3.48 ,  3.6 , 3.53 , 6.71 , 4.79 , 6.97 ,3.42 ,4.05
MAR-2006     , 3.7 ,3.64 , 3.65 , 3.95 ,3.66 ,3.69 ,3.92 ,3.97 ,2.82 ,4.35 ,3.66 ,3.65 , 3.77 , 3.8 ,4.01 ,3.62 , 3.9 ,3.58 , 3.7 ,  3.6 , 3.75 ,    7 , 4.79 , 7.07 ,3.55 ,4.19
